index,store,brand,feat,price,AGE60,EDUC,ETHNIC,INCOME,HHLARGE,WORKWOM,HVAL150,SSTRDIST,SSTRVOL,CPDIST5,CPWVOL5,weekday,brand_dominicks,brand_minute.maid,brand_tropicana,weekday_Friday,weekday_Monday,weekday_Saturday,weekday_Sunday,weekday_Thursday,weekday_Tuesday,weekday_Wednesday,logmove,datetime
0,2,tropicana,0,3.87,0.232864734,0.248934934,0.114279949,10.55320518,0.103953406,0.303585347,0.463887065,2.110122129,1.142857143,1.927279669,0.376926613,Tuesday,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.018695488,2023-08-01
1,59,minute.maid,0,2.62,0.110818913,0.233036093,0.024246568,10.7150398,0.140676118,0.390696107,0.292651757,0.217274596,1.0,3.331154049,0.395539036,Tuesday,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.655390645,2023-08-01
2,59,tropicana,0,3.19,0.110818913,0.233036093,0.024246568,10.7150398,0.140676118,0.390696107,0.292651757,0.217274596,1.0,3.331154049,0.395539036,Tuesday,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.489616424,2023-08-01
3,124,minute.maid,0,3.17,0.119625811,0.261875835,0.572355861,10.25895677,0.12494986,0.348518562,0.416315588,6.328746874,0.727272727,1.793795763,0.202168946,Tuesday,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.269756948,2023-08-01
4,56,dominicks,1,1.59,0.192888549,0.237550719,0.041356019,10.83182543,0.105927922,0.362168183,0.578125,4.865720568,0.533333333,2.998578338,0.496126662,Tuesday,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.565602331,2023-08-01
5,56,minute.maid,0,2.99,0.192888549,0.237550719,0.041356019,10.83182543,0.105927922,0.362168183,0.578125,4.865720568,0.533333333,2.998578338,0.496126662,Tuesday,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.560080465,2023-08-01
6,56,tropicana,0,3.66,0.192888549,0.237550719,0.041356019,10.83182543,0.105927922,0.362168183,0.578125,4.865720568,0.533333333,2.998578338,0.496126662,Tuesday,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.723231275,2023-08-01
7,124,dominicks,1,1.59,0.119625811,0.261875835,0.572355861,10.25895677,0.12494986,0.348518562,0.416315588,6.328746874,0.727272727,1.793795763,0.202168946,Tuesday,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.624618986,2023-08-01
8,54,dominicks,1,1.59,0.090222278,0.421125644,0.046640859,10.91089788,0.103522408,0.43671875,0.646023263,4.899564267,1.333333333,1.963412365,0.645830051,Tuesday,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.592870288,2023-08-01
9,54,minute.maid,0,2.99,0.090222278,0.421125644,0.046640859,10.91089788,0.103522408,0.43671875,0.646023263,4.899564267,1.333333333,1.963412365,0.645830051,Tuesday,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.30201781,2023-08-01
10,54,tropicana,0,3.66,0.090222278,0.421125644,0.046640859,10.91089788,0.103522408,0.43671875,0.646023263,4.899564267,1.333333333,1.963412365,0.645830051,Tuesday,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.929567708,2023-08-01
11,126,tropicana,0,3.66,0.107002273,0.413222417,0.045018573,10.9808762,0.113699475,0.421959283,0.573626374,5.065200839,1.69047619,1.858260236,0.717799295,Tuesday,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.476371197,2023-08-01
12,53,dominicks,1,1.59,0.300278681,0.2703835,0.065722248,10.60000405,0.113686757,0.312635693,0.441323063,10.45970992,1.0,2.132004658,0.332950694,Tuesday,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.135616826,2023-08-01
13,53,minute.maid,0,3.17,0.300278681,0.2703835,0.065722248,10.60000405,0.113686757,0.312635693,0.441323063,10.45970992,1.0,2.132004658,0.332950694,Tuesday,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.877381955,2023-08-01
14,53,tropicana,0,3.87,0.300278681,0.2703835,0.065722248,10.60000405,0.113686757,0.312635693,0.441323063,10.45970992,1.0,2.132004658,0.332950694,Tuesday,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.727227587,2023-08-01
15,126,minute.maid,0,2.99,0.107002273,0.413222417,0.045018573,10.9808762,0.113699475,0.421959283,0.573626374,5.065200839,1.69047619,1.858260236,0.717799295,Tuesday,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.378390789,2023-08-01
16,52,dominicks,1,1.59,0.152241195,0.372927296,0.084898613,11.05101698,0.101976511,0.393476864,0.727728684,4.793439152,1.055555556,2.533671515,0.334511569,Tuesday,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.489616424,2023-08-01
17,52,minute.maid,0,3.17,0.152241195,0.372927296,0.084898613,11.05101698,0.101976511,0.393476864,0.727728684,4.793439152,1.055555556,2.533671515,0.334511569,Tuesday,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.540909718,2023-08-01
18,52,tropicana,0,3.87,0.152241195,0.372927296,0.084898613,11.05101698,0.101976511,0.393476864,0.727728684,4.793439152,1.055555556,2.533671515,0.334511569,Tuesday,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.651944527,2023-08-01
19,126,dominicks,1,1.59,0.107002273,0.413222417,0.045018573,10.9808762,0.113699475,0.421959283,0.573626374,5.065200839,1.69047619,1.858260236,0.717799295,Tuesday,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.416979621,2023-08-01
20,51,dominicks,1,1.59,0.176159718,0.171916711,0.025425719,10.62083942,0.130340815,0.313189796,0.316889001,2.102553804,1.25,2.226766425,0.310202569,Tuesday,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.903815212,2023-08-01
21,51,minute.maid,0,2.99,0.176159718,0.171916711,0.025425719,10.62083942,0.130340815,0.313189796,0.316889001,2.102553804,1.25,2.226766425,0.310202569,Tuesday,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.253227646,2023-08-01
22,51,tropicana,0,3.66,0.176159718,0.171916711,0.025425719,10.62083942,0.130340815,0.313189796,0.316889001,2.102553804,1.25,2.226766425,0.310202569,Tuesday,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.253227646,2023-08-01
23,128,tropicana,0,3.87,0.157485189,0.211896894,0.355911221,10.15342882,0.100043497,0.398251192,0.26618705,10.6674474,2.0,1.409463486,0.259004207,Tuesday,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.071537969,2023-08-01
24,124,tropicana,0,3.87,0.119625811,0.261875835,0.572355861,10.25895677,0.12494986,0.348518562,0.416315588,6.328746874,0.727272727,1.793795763,0.202168946,Tuesday,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.850230966,2023-08-01
25,50,dominicks,1,1.59,0.153357376,0.128764278,0.07092564,10.58930796,0.111798396,0.3242127,0.240180587,2.767046304,0.727272727,1.939328534,0.470972765,Tuesday,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.647519453,2023-08-01
26,59,dominicks,1,1.59,0.110818913,0.233036093,0.024246568,10.7150398,0.140676118,0.390696107,0.292651757,0.217274596,1.0,3.331154049,0.395539036,Tuesday,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.714231145,2023-08-01
27,62,minute.maid,0,3.17,0.222534262,0.517760337,0.026510896,11.23619652,0.103979265,0.322765158,0.916699488,5.452685258,0.705882353,2.184049779,0.201722445,Tuesday,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.449342525,2023-08-01
28,72,tropicana,0,3.87,0.283727688,0.268724553,0.04593884,10.71219307,0.101522843,0.331130976,0.571315163,3.002118069,0.857142857,1.696152707,0.644907796,Tuesday,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.329367078,2023-08-01
29,71,dominicks,1,1.59,0.26807087,0.159588077,0.074828009,10.40483843,0.075013729,0.303101737,0.163882428,6.673879403,1.45,1.818358986,0.266474174,Tuesday,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.790094865,2023-08-01
30,122,tropicana,0,3.19,0.061953911,0.255889066,0.078372885,10.77505285,0.125831821,0.425860127,0.280446271,2.597516352,0.6,2.752490308,0.238737607,Tuesday,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.841014311,2023-08-01
31,71,minute.maid,0,3.17,0.26807087,0.159588077,0.074828009,10.40483843,0.075013729,0.303101737,0.163882428,6.673879403,1.45,1.818358986,0.266474174,Tuesday,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.592870288,2023-08-01
32,71,tropicana,0,3.87,0.26807087,0.159588077,0.074828009,10.40483843,0.075013729,0.303101737,0.163882428,6.673879403,1.45,1.818358986,0.266474174,Tuesday,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.68067166,2023-08-01
33,70,dominicks,1,1.59,0.190235804,0.165669605,0.162860821,10.41235125,0.110542664,0.32772939,0.049271137,3.909329477,0.5,3.527768437,0.367773151,Tuesday,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.589699882,2023-08-01
34,122,minute.maid,0,2.62,0.061953911,0.255889066,0.078372885,10.77505285,0.125831821,0.425860127,0.280446271,2.597516352,0.6,2.752490308,0.238737607,Tuesday,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.733594062,2023-08-01
35,70,minute.maid,0,2.62,0.190235804,0.165669605,0.162860821,10.41235125,0.110542664,0.32772939,0.049271137,3.909329477,0.5,3.527768437,0.367773151,Tuesday,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.553332238,2023-08-01
36,70,tropicana,0,2.59,0.190235804,0.165669605,0.162860821,10.41235125,0.110542664,0.32772939,0.049271137,3.909329477,0.5,3.527768437,0.367773151,Tuesday,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.987196821,2023-08-01
